random_moves,hillclimber_moves,improvement,board,size
30127,29966,161,Board 4,9x9
33893,33730,163,Board 4,9x9
13227,13071,156,Board 4,9x9
25776,25611,165,Board 4,9x9
46642,46475,167,Board 4,9x9
7481,7308,173,Board 4,9x9
41480,41312,168,Board 4,9x9
12778,12604,174,Board 4,9x9
35143,34977,166,Board 4,9x9
21076,20902,174,Board 4,9x9
9130,8976,154,Board 4,9x9
8208,8053,155,Board 4,9x9
36941,36788,153,Board 4,9x9
25479,25479,0,Board 4,9x9
20919,20755,164,Board 4,9x9
65134,64967,167,Board 4,9x9
10141,9976,165,Board 4,9x9
32967,32806,161,Board 4,9x9
48566,48401,165,Board 4,9x9
66628,66464,164,Board 4,9x9
36118,35969,149,Board 4,9x9
26325,26140,185,Board 4,9x9
7478,7317,161,Board 4,9x9
14429,14280,149,Board 4,9x9
17809,17630,179,Board 4,9x9
26429,26265,164,Board 4,9x9
4166,4012,154,Board 4,9x9
39096,38927,169,Board 4,9x9
6021,5833,188,Board 4,9x9
58487,58334,153,Board 4,9x9
25844,25679,165,Board 4,9x9
83757,83575,182,Board 4,9x9
23547,23388,159,Board 4,9x9
47365,47201,164,Board 4,9x9
40484,40322,162,Board 4,9x9
28816,28674,142,Board 4,9x9
33764,33604,160,Board 4,9x9
45016,44854,162,Board 4,9x9
9900,9734,166,Board 4,9x9
21408,21220,188,Board 4,9x9
15794,15633,161,Board 4,9x9
20013,19848,165,Board 4,9x9
42837,42666,171,Board 4,9x9
24381,24226,155,Board 4,9x9
18607,18454,153,Board 4,9x9
58163,58005,158,Board 4,9x9
36881,36730,151,Board 4,9x9
7406,7249,157,Board 4,9x9
6734,6554,180,Board 4,9x9
9817,9659,158,Board 4,9x9
14932,14774,158,Board 4,9x9
13602,13441,161,Board 4,9x9
16689,16520,169,Board 4,9x9
12758,12600,158,Board 4,9x9
35126,34966,160,Board 4,9x9
48132,47974,158,Board 4,9x9
16631,16474,157,Board 4,9x9
33277,33105,172,Board 4,9x9
33964,33784,180,Board 4,9x9
38670,38504,166,Board 4,9x9
13499,13305,194,Board 4,9x9
58139,57973,166,Board 4,9x9
40241,40054,187,Board 4,9x9
56011,55850,161,Board 4,9x9
72055,71898,157,Board 4,9x9
35053,34894,159,Board 4,9x9
17559,17389,170,Board 4,9x9
92538,92374,164,Board 4,9x9
27557,27390,167,Board 4,9x9
38725,38559,166,Board 4,9x9
31787,31609,178,Board 4,9x9
11461,11291,170,Board 4,9x9
21921,21745,176,Board 4,9x9
53614,53460,154,Board 4,9x9
30281,30128,153,Board 4,9x9
7962,7793,169,Board 4,9x9
13648,13487,161,Board 4,9x9
16782,16627,155,Board 4,9x9
10402,10227,175,Board 4,9x9
