random_moves,optimized_hillclimber_moves,runtime,improvement,board,size,iterations
31450,31110,0.7341561317443848,340,Board 3,6x6,500
39553,39213,1.1951117515563965,340,Board 3,6x6,500
6312,5988,0.1553530693054199,324,Board 3,6x6,500
12658,12314,0.302192211151123,344,Board 3,6x6,500
38025,37717,0.931471824645996,308,Board 3,6x6,500
10568,10260,0.2530250549316406,308,Board 3,6x6,500
14580,14248,0.3398821353912353,332,Board 3,6x6,500
6748,6438,0.1636769771575927,310,Board 3,6x6,500
13314,13000,0.3106000423431396,314,Board 3,6x6,500
47505,47203,1.1078178882598877,302,Board 3,6x6,500
29154,28798,0.6802058219909668,356,Board 3,6x6,500
28645,28309,0.6601860523223877,336,Board 3,6x6,500
2744,2742,0.0633308887481689,2,Board 3,6x6,500
45473,45189,1.035970687866211,284,Board 3,6x6,500
49726,49726,1.144831895828247,0,Board 3,6x6,500
11203,10899,0.2967753410339355,304,Board 3,6x6,500
3664,3346,0.0925235748291015,318,Board 3,6x6,500
64576,64228,1.485166072845459,348,Board 3,6x6,500
51183,50877,1.1745169162750244,306,Board 3,6x6,500
28836,28488,0.7456278800964355,348,Board 3,6x6,500
61495,61125,1.723888874053955,370,Board 3,6x6,500
11760,11470,0.3415427207946777,290,Board 3,6x6,500
18742,18362,0.5496001243591309,380,Board 3,6x6,500
12023,11665,0.3446319103240967,358,Board 3,6x6,500
21668,21342,0.6155369281768799,326,Board 3,6x6,500
45048,45048,1.2237627506256104,0,Board 3,6x6,500
21176,20856,0.590749979019165,320,Board 3,6x6,500
36669,36333,1.0031452178955078,336,Board 3,6x6,500
27193,26865,0.7859029769897461,328,Board 3,6x6,500
31121,30787,0.861274242401123,334,Board 3,6x6,500
17616,17276,0.4935767650604248,340,Board 3,6x6,500
4744,4416,0.1370129585266113,328,Board 3,6x6,500
70038,69712,1.9296939373016355,326,Board 3,6x6,500
44915,44565,1.160254955291748,350,Board 3,6x6,500
69769,69439,1.6143150329589844,330,Board 3,6x6,500
97955,97625,2.2751622200012207,330,Board 3,6x6,500
31467,31129,0.7369837760925293,338,Board 3,6x6,500
31091,30753,0.7249388694763184,338,Board 3,6x6,500
7296,6960,0.2162139415740966,336,Board 2,6x6,500
1486,1194,0.0500516891479492,292,Board 2,6x6,500
1224,906,0.0425341129302978,318,Board 2,6x6,500
3226,2896,0.0985238552093505,330,Board 2,6x6,500
5595,5291,0.1617650985717773,304,Board 2,6x6,500
2294,1956,0.0739729404449462,338,Board 2,6x6,500
4734,4368,0.1419379711151123,366,Board 2,6x6,500
1586,1248,0.0536696910858154,338,Board 2,6x6,500
1127,777,0.0411207675933837,350,Board 2,6x6,500
1477,1101,0.0563750267028808,376,Board 2,6x6,500
1581,1241,0.0533797740936279,340,Board 2,6x6,500
1191,875,0.0406391620635986,316,Board 2,6x6,500
1486,1112,0.0544991493225097,374,Board 2,6x6,500
462,462,0.015071153640747,0,Board 2,6x6,500
